 Simón Bolívar  | Venezuela
 Frida Kahlo  | México
 Ernesto "Che" Guevara  | Argentina
 Sor Juana Inés de la Cruz  | México
 Pedro II de Brasil | Brasil
 Eva Perón  | Argentina
 José Martí  | Cuba 
 Emiliano Zapata  | México 
 Violeta Parra  | Chile 
 Miguel Hidalgo  | México 
 Rigoberta Menchú  | Guatemala 
 José de San Martín  | Argentina 
 Gabriela Mistral  | Chile 
 Salvador Allende  | Chile 
 Simón Rodríguez  | Venezuela 
 Juana Azurduy  | Bolivia 
 Carlos Gardel  | Argentina 
 José Carlos Mariátegui  | Perú 
 Manuel Belgrano  | Argentina 
 Túpac Amaru II  | Perú 
 Octavio Paz  | México 
 Bernardo O'Higgins  | Chile 
 Gabriela Sabatini  | Argentina 
 Manuel Puig  | Argentina 
 Francisco de Miranda  | Venezuela 
 Clorinda Matto de Turner  | Perú 
 Benito Juárez  | México 
 Pedro Nel Gómez  | Colombia 
 Manuel Scorza  | Perú 
 José Clemente Orozco  | México 
 Arturo Prat  | Chile 
 Claudio Arrau  | Chile 
 Francisco de Paula Santander  | Colombia 
 Frida Larios  | El Salvador 
 Alberto Hurtado  | Chile 
 Juana Inés de Asbaje y Ramírez de Santillana  | México 
 José María Morelos  | México 
 Jorge Luis Borges  | Argentina 
 José Rizal  | Filipinas (parte de América Latina hasta 1810) 
 Juana Inés de la Cruz  | México 
 Carlos Drummond de Andrade  | Brasil 
 José Figueres Ferrer  | Costa Rica 
 Alfonsina Storni  | Argentina 
 Hipólito Yrigoyen  | Argentina 
 José Antonio Páez  | Venezuela 
 Rigoberto López Pérez  | Nicaragua 
 Miguel Ángel Asturias  | Guatemala 
 Manuel da Nóbrega  | Brasil 
 Isabel Allende  | Chile 
 Oswaldo Guayasamín  | Ecuador 
 Violeta Barrios de Chamorro  | Nicaragua 
 Rubén Darío  | Nicaragua 
 Bernardo Vieco  | Colombia 
 José Bonifácio de Andrada  | Brasil 
 Rigoberto Cabezas  | Nicaragua 
 Eva Duarte de Perón  | Argentina 
 Miguel Grau  | Perú 
 Gabriela Mistral  | Chile 
 Francisco de Paula Santander  | Colombia 
 Sor Juana Inés de la Cruz  | México 
 José de la Riva-Agüero y Sánchez-Boquete  | Perú 
 Rómulo Gallegos  | Venezuela 
 Salvador Dalí  | España (conexión con América Latina)
 Agustín Lara  | México 
 Antonio José de Sucre  | Venezuela 
 Celia Cruz  | Cuba 
 Andrés Bello  | Venezuela 
 Tarsila do Amaral  | Brasil 
 Francisco Morazán  | Honduras 
 Alfonsina Storni  | Argentina 
 Miguel de Cervantes Saavedra  | España (conexión con América Latina) 
 José Gorostiza  | México 
 Pedro Francisco Bonó  | República Dominicana 
 Bartolomé de las Casas  | España (conexión con América Latina)
 Chabuca Granda  | Perú 
 Andrés Eloy Blanco  | Venezuela 
 Jorge Amado  | Brasil 
 José Martínez de Hoz  | Argentina 
 Alberto Fujimori  | Perú 
 Andrés Hurtado García  | Ecuador 
 Esteban Echeverría  | Argentina 
 Caetano Veloso  | Brasil 
 Agustín Lara  | México 
 Rosa Luxemburgo  | Polonia (conexión con América Latina)
 Roque Dalton  | El Salvador 
 Francisco de Miranda  | Venezuela 
 Rubén Blades  | Panamá 
 José de Alencar  | Brasil 
 Delmira Agustini  | Uruguay 
 Rigoberta Menchú  | Guatemala 
 Manuel Bandeira  | Brasil 
 Luis Buñuel  | España (conexión con América Latina)
 José Joaquín de Olmedo  | Ecuador 
 Gabriela Sabatini  | Argentina 
 Jorge Francisco Isidoro Luis Borges Acevedo  | Argentina 
 José María Arguedas  | Perú 
 Luisa Cáceres de Arismendi  | Venezuela 
 José Eustasio Rivera  | Colombia 
 Cristina Fernández de Kirchner  | Argentina 
 Juan Vicente Gómez  | Venezuela 
