category_name,category_id
Renaissance,http://www.wikidata.org/entity/Q4692
Dada,http://www.wikidata.org/entity/Q6034
neoclassicism,http://www.wikidata.org/entity/Q14378
street art,http://www.wikidata.org/entity/Q17516
Art Nouveau,http://www.wikidata.org/entity/Q34636
Romanticism,http://www.wikidata.org/entity/Q37068
Baroque,http://www.wikidata.org/entity/Q37853
modern art,http://www.wikidata.org/entity/Q38166
First Athenian School,http://www.wikidata.org/entity/Q38976
surrealism,http://www.wikidata.org/entity/Q39427
Impressionism,http://www.wikidata.org/entity/Q40415
Cubism,http://www.wikidata.org/entity/Q42934
Romanesque art,http://www.wikidata.org/entity/Q46805
Gothic art,http://www.wikidata.org/entity/Q46825
postmodernism,http://www.wikidata.org/entity/Q47783
Naturalism,http://www.wikidata.org/entity/Q55995
Caravaggisti,http://www.wikidata.org/entity/Q62506
expressionism,http://www.wikidata.org/entity/Q80113
avant-garde,http://www.wikidata.org/entity/Q102932
Fluxus,http://www.wikidata.org/entity/Q108908
Bauhaus,http://www.wikidata.org/entity/Q124354
abstract art,http://www.wikidata.org/entity/Q128115
futurism,http://www.wikidata.org/entity/Q131221
kitsch,http://www.wikidata.org/entity/Q131711
mannerism,http://www.wikidata.org/entity/Q131808
pop art,http://www.wikidata.org/entity/Q134147
Zero,http://www.wikidata.org/entity/Q136046
Barbizon school,http://www.wikidata.org/entity/Q143357
magic realism,http://www.wikidata.org/entity/Q147516
neo-impressionism,http://www.wikidata.org/entity/Q150091
Die Brücke,http://www.wikidata.org/entity/Q152778
Biedermeier,http://www.wikidata.org/entity/Q154432
degenerate art,http://www.wikidata.org/entity/Q156460
Carolingian Renaissance,http://www.wikidata.org/entity/Q157123
New Objectivity,http://www.wikidata.org/entity/Q160218
Group E,http://www.wikidata.org/entity/Q161776
Symbolism,http://www.wikidata.org/entity/Q164800
fauvism,http://www.wikidata.org/entity/Q166593
post-impressionism,http://www.wikidata.org/entity/Q166713
classicism,http://www.wikidata.org/entity/Q170292
minimalism,http://www.wikidata.org/entity/Q173436
Art Deco,http://www.wikidata.org/entity/Q173782
Thirties Generation,http://www.wikidata.org/entity/Q174988
abstract expressionism,http://www.wikidata.org/entity/Q177725
socialist realism,http://www.wikidata.org/entity/Q180902
op art,http://www.wikidata.org/entity/Q182331
Pre-Raphaelite Brotherhood,http://www.wikidata.org/entity/Q184814
ukiyo-e,http://www.wikidata.org/entity/Q185905
contemporary art,http://www.wikidata.org/entity/Q186030
academic art,http://www.wikidata.org/entity/Q189458
Brazilian academic art,http://www.wikidata.org/entity/Q189772
suprematism,http://www.wikidata.org/entity/Q191970
conceptual art,http://www.wikidata.org/entity/Q203209
constructivism,http://www.wikidata.org/entity/Q207103
De Stijl,http://www.wikidata.org/entity/Q207445
Vienna Secession,http://www.wikidata.org/entity/Q208208
COBRA,http://www.wikidata.org/entity/Q212611
Quattrocento,http://www.wikidata.org/entity/Q213523
Zopf style,http://www.wikidata.org/entity/Q220416
Hellenistic art,http://www.wikidata.org/entity/Q221375
Viking art,http://www.wikidata.org/entity/Q222466
Transavantgarde,http://www.wikidata.org/entity/Q224885
Delft School,http://www.wikidata.org/entity/Q252645
Kanō school,http://www.wikidata.org/entity/Q252801
nova cançó,http://www.wikidata.org/entity/Q254890
aestheticism,http://www.wikidata.org/entity/Q256922
Incoherents,http://www.wikidata.org/entity/Q258694
École de Nancy,http://www.wikidata.org/entity/Q273495
School of Paris,http://www.wikidata.org/entity/Q273506
Nouveau réalisme,http://www.wikidata.org/entity/Q276308
Sots Art,http://www.wikidata.org/entity/Q276327
historicism,http://www.wikidata.org/entity/Q277466
naïve art,http://www.wikidata.org/entity/Q281108
Beuron Art School,http://www.wikidata.org/entity/Q316711
Munich School,http://www.wikidata.org/entity/Q319973
land art,http://www.wikidata.org/entity/Q326478
Arts and Crafts movement,http://www.wikidata.org/entity/Q330369
New Figuration,http://www.wikidata.org/entity/Q368002
hard-edge painting,http://www.wikidata.org/entity/Q369418
auricular style,http://www.wikidata.org/entity/Q372240
agitprop,http://www.wikidata.org/entity/Q374278
new media art,http://www.wikidata.org/entity/Q378604
Pont-Aven School,http://www.wikidata.org/entity/Q382056
European comics,http://www.wikidata.org/entity/Q387284
Non-conformists of the 1930s,http://www.wikidata.org/entity/Q387479
neo-romanticism,http://www.wikidata.org/entity/Q397469
Nazarene movement,http://www.wikidata.org/entity/Q422681
Neo-geo,http://www.wikidata.org/entity/Q432026
Early Netherlandish painting,http://www.wikidata.org/entity/Q443153
American Renaissance,http://www.wikidata.org/entity/Q466675
American scene painting,http://www.wikidata.org/entity/Q469913
environmental art,http://www.wikidata.org/entity/Q473743
Antwerp Mannerism,http://www.wikidata.org/entity/Q477134
Amsterdam Impressionism,http://www.wikidata.org/entity/Q478717
purism,http://www.wikidata.org/entity/Q478774
Q485307,http://www.wikidata.org/entity/Q485307
Les Nabis,http://www.wikidata.org/entity/Q503708
Young British Artists,http://www.wikidata.org/entity/Q516316
Orphism,http://www.wikidata.org/entity/Q519443
Photo-Secession,http://www.wikidata.org/entity/Q540807
process art,http://www.wikidata.org/entity/Q545851
Activism,http://www.wikidata.org/entity/Q556997
public art,http://www.wikidata.org/entity/Q557141
Art & Language,http://www.wikidata.org/entity/Q558276
Wu School,http://www.wikidata.org/entity/Q558875
Macchiaioli,http://www.wikidata.org/entity/Q574985
Eurasiatic animal style,http://www.wikidata.org/entity/Q576717
Arte Povera,http://www.wikidata.org/entity/Q576913
Neoclassical painting,http://www.wikidata.org/entity/Q577147
School of Fontainebleau,http://www.wikidata.org/entity/Q584084
Danube school,http://www.wikidata.org/entity/Q587691
neo-expressionism,http://www.wikidata.org/entity/Q589655
outsider art,http://www.wikidata.org/entity/Q594150
New Romantic,http://www.wikidata.org/entity/Q597240
subjective photography,http://www.wikidata.org/entity/Q597503
Bloomsbury Group,http://www.wikidata.org/entity/Q603529
Venetian school,http://www.wikidata.org/entity/Q610687
Northern Renaissance,http://www.wikidata.org/entity/Q610877
Insular art,http://www.wikidata.org/entity/Q612118
Carolingian art,http://www.wikidata.org/entity/Q614082
Russian Futurism,http://www.wikidata.org/entity/Q617166
archaic Greek sculpture,http://www.wikidata.org/entity/Q632355
Realism sculpture,http://www.wikidata.org/entity/Q647862
