person|date_of_birth|date_of_death|wiki_page
Adolfo Hohenstein|1854-03-18|1928-04-13|https://en.wikipedia.org/wiki/Adolfo_Hohenstein
Otto Wagner|1841-07-13|1918-04-11|https://en.wikipedia.org/wiki/Otto_Wagner
Hede von Trapp|1877-11-18|1947-12-29|https://en.wikipedia.org/wiki/Hede_von_Trapp
Charles l'Eplattenier|1874-10-09|1946-06-07|https://en.wikipedia.org/wiki/Charles_L%27%C3%89plattenier
Ludwig Fahrenkrog|1867-10-20|1952-10-27|https://en.wikipedia.org/wiki/Ludwig_Fahrenkrog
Ștefan Luchian|1868-02-13|1916-06-28|https://en.wikipedia.org/wiki/%C8%98tefan_Luchian
Elsa von Freytag-Loringhoven|1874-07-12|1927-12-15|https://en.wikipedia.org/wiki/Elsa_von_Freytag-Loringhoven
Marian Lalewicz|1876-11-21|1944-08-21|https://en.wikipedia.org/wiki/Marian_Lalewicz
René Lalique|1860-04-06|1945-05-01|https://en.wikipedia.org/wiki/Ren%C3%A9_Lalique
Mikhail Eisenstein|1867-09-17|1920-07-01|https://en.wikipedia.org/wiki/Mikhail_Eisenstein
Armando Reverón|1889-05-10|1954-09-18|https://en.wikipedia.org/wiki/Armando_Rever%C3%B3n
Fyodor Lidval|1870-06-01|1945-03-14|https://en.wikipedia.org/wiki/Fyodor_Lidval
Eižens Laube|1880-05-25|1967-07-21|https://en.wikipedia.org/wiki/Ei%C5%BEens_Laube
Maurice Bouval|1863-03-09|1916-03-20|https://en.wikipedia.org/wiki/Maurice_Bouval
Gustave Strauven|1878-06-24|1919-03-19|https://en.wikipedia.org/wiki/Gustave_Strauven
Octave Van Rysselberghe|1855-07-22|1929-03-30|https://en.wikipedia.org/wiki/Octave_van_Rysselberghe
Louis Majorelle|1859-09-26|1926-01-15|https://en.wikipedia.org/wiki/Louis_Majorelle
Ernest Blerot|1870-02-21|1957-01-19|https://en.wikipedia.org/wiki/Ernest_Blerot
Émile Joseph Nestor Carlier|1849-01-03|1927-04-11|https://en.wikipedia.org/wiki/Joseph_Carlier
Fyodor Buchholz|1857-06-09|1942-05-07|https://en.wikipedia.org/wiki/Fyodor_Buchholz
Apcar Baltazar|1880-02-26|1909-09-26|https://en.wikipedia.org/wiki/Apcar_Baltazar
Camille Alaphilippe|1874-08-13|1950-01-01|https://en.wikipedia.org/wiki/Camille_Alaphilippe
Charles Catteau|1880-01-26|1966-10-20|https://en.wikipedia.org/wiki/Charles_Catteau
Kay Nielsen|1886-03-12|1957-06-23|https://en.wikipedia.org/wiki/Kay_Nielsen
Henri Vever|1854-10-16|1942-09-23|https://en.wikipedia.org/wiki/Henri_Vever
Ion Theodorescu-Sion|1882-01-02|1939-03-31|https://en.wikipedia.org/wiki/Ion_Theodorescu-Sion
Jules Lavirotte|1864-03-25|1929-03-01|https://en.wikipedia.org/wiki/Jules_Lavirotte
Margaret MacDonald|1864-11-05|1933-01-07|https://en.wikipedia.org/wiki/Margaret_Macdonald_Mackintosh
Eugène Grasset|1845-05-25|1917-10-23|https://en.wikipedia.org/wiki/Eug%C3%A8ne_Grasset
Paul Saintenoy|1862-06-19|1952-07-18|https://en.wikipedia.org/wiki/Paul_Saintenoy
Jules Chéret|1836-06-01|1932-09-23|https://en.wikipedia.org/wiki/Jules_Ch%C3%A9ret
Carl Moll|1861-04-23|1945-04-13|https://en.wikipedia.org/wiki/Carl_Moll
Théophile Steinlen|1859-11-20|1923-12-13|https://en.wikipedia.org/wiki/Th%C3%A9ophile_Steinlen
