ord;word;1;2
1;Felix;B-PER;0
2;Nylund;I-PER;0
3;oli;0;0
4;Suomen;B-ORG;B-LOC
5;Kuvanveistäjäin;0;0
6;liiton;I-ORG;0
7;perustajia;0;0
8;1910;B-DATE;0
9;ja;0;0
10;sen;0;0
11;pitkäaikainen;0;0
12;puheenjohtaja;0;0
13;.;0;0
1;Vanni;B-PER;0
2;työskenteli;0;0
3;intensiivisesti;0;0
4;aina;0;0
5;1990-luvun;B-DATE;0
6;alkuun;0;0
7;asti;0;0
8;.;0;0
1;Tämä;0;0
2;oli;0;0
3;ansioitunut;0;0
4;,;0;0
5;arvostettu;0;0
6;ja;0;0
7;Pariisin;B-LOC;0
8;salongeissa;0;0
9;palkittu;0;0
10;taiteilija;0;0
11;,;0;0
12;jonka;0;0
13;maine;0;0
14;tunnettiin;0;0
15;myös;0;0
16;Suomessa;B-LOC;0
17;.;0;0
1;Geetet;B-PER;0
2;olivat;0;0
3;sotilassukua;0;0
4;,;0;0
5;ja;0;0
6;perheen;0;0
7;pojista;0;0
8;tuli;0;0
9;yhtä;0;0
10;lukuun;0;0
11;ottamatta;0;0
12;upseereita;0;0
13;,;0;0
14;neljästä;0;0
15;myös;0;0
16;piirtäjiä;0;0
17;ja;0;0
18;taiteilijoita;0;0
19;.;0;0
1;Vaikka;0;0
2;teosta;0;0
3;voidaan;0;0
4;pitää;0;0
5;rajapyykkinä;0;0
6;niin;0;0
7;Vannin;B-PER;0
8;uralla;0;0
9;kuin;0;0
10;abstraktin;0;0
11;ja;0;0
12;konkreettisen;0;0
13;taiteen;0;0
14;historiassa;0;0
15;Suomessa;B-LOC;0
16;,;0;0
17;siinä;0;0
18;on;0;0
19;sisällä;0;0
20;vielä;0;0
21;esittäviä;0;0
22;elementtejä;0;0
23;.;0;0
1;Martta;B-PER;0
2;Wendelinin;I-PER;0
3;maailman;0;0
4;kannalta;0;0
5;aatteiltaan;0;0
6;ja;0;0
7;toiminnaltaan;0;0
8;mielenkiintoisin;0;0
9;järjestö;0;0
10;on;0;0
11;Marttaliitto;B-ORG;0
12;,;0;0
13;johon;0;0
14;hänen;0;0
15;kuvastonsa;0;0
16;sanoma;0;0
17;helposti;0;0
18;vertautuu;0;0
19;.;0;0
1;Max;B-PER;0
2;Salmi;I-PER;0
3;haki;0;0
4;aineistoa;0;0
5;myös;0;0
6;antiikin;0;0
7;myyteistä;0;0
8;,;0;0
9;joista;0;0
10;esimerkkinä;0;0
11;mainittakoon;0;0
12;Pieni;B-WORK;0
13;kyklooppi;I-WORK;0
14;(;0;0
15;1971;B-DATE;0
16;);0;0
17;sekä;0;0
18;Troijan;B-WORK;0
19;puuhevonen;I-WORK;0
20;(;0;0
21;1967;B-DATE;0
22;);0;0
23;,;0;0
24;jossa;0;0
25;on;0;0
26;Salmelle;B-PER;0
27;ominaista;0;0
28;pintakäsittelyä;0;0
29;repaleisine;0;0
30;pilvimuodostelmineen;0;0
31;.;0;0
1;Akvarellit;0;0
2;lienevät;0;0
3;syntyneet;0;0
4;Ehrensvärdin;B-PER;0
5;ollessa;0;0
6;Pommerin;B-EVT;0
7;sodassa;I-EVT;0
8;1757;B-DATE;B-DATE
9;-;0;0
10;1762;I-DATE;B-DATE
11;.;0;0
1;Waltarista;B-PER;0
2;tuli;0;0
3;sittemmin;0;0
4;Saarisen;B-PER;0
5;uskollinen;0;0
6;ymmärtäjä;0;0
7;ja;0;0
8;tukija;0;0
9;.;0;0
1;Sallinen;B-PER;0
2;maalasi;0;0
3;läpi;0;0
4;elämänsä;0;0
5;myös;0;0
6;omiakuviaan;0;0
7;,;0;0
8;joiden;0;0
9;kautta;0;0
10;voidaan;0;0
11;seurata;0;0
12;niin;0;0
13;taiteilijan;0;0
14;ulkoista;0;0
15;kuin;0;0
16;taiteellistakin;0;0
17;muuttumista;0;0
18;.;0;0
1;Vielä;0;0
2;ikäihmisenä;0;0
3;,;0;0
4;70-;0;0
5;ja;0;0
6;80-vuotiaana;0;0
7;,;0;0
8;hän;0;0
9;matkusti;0;0
10;ympäri;0;0
11;Suomea;B-LOC;0
12;maalaamassa;0;0
13;tilattuja;0;0
14;muotokuvia;0;0
15;erityisesti;0;0
16;lapsista;0;0
17;sekä;0;0
18;pitäjien;0;0
19;merkkihenkilöistä;0;0
20;.;0;0
1;Vanni;B-PER;0
2;aloitti;0;0
3;taideopintonsa;0;0
4;Suomen;B-ORG;B-LOC
5;Taideyhdistyksen;0;0
6;piirustuskoulussa;I-ORG;0
7;1927;B-DATE;B-DATE
8;-;0;0
9;1928;I-DATE;B-DATE
10;ja;0;0
11;jatkoi;0;0
12;niitä;0;0
13;Italiassa;B-LOC;0
14;,;0;0
15;minne;0;0
16;hän;0;0
17;joutui;0;0
18;matkustamaan;0;0
19;sairautensa;0;0
20;vuoksi;0;0
21;.;0;0
1;Hän;0;0
2;oli;0;0
3;myös;0;0
4;Suomen;B-ORG;B-LOC
5;Heraldisen;0;0
6;Seuran;I-ORG;0
7;perustajajäsen;0;0
8;ja;0;0
9;sen;0;0
10;ensimmäinen;0;0
11;puheenjohtaja;0;0
12;1957;B-DATE;B-DATE
13;-;0;0
14;1964;I-DATE;B-DATE
15;.;0;0
1;Sen;0;0
2;painosmäärä;0;0
3;oli;0;0
4;vähäinen;0;0
5;verrattuna;0;0
6;Kotilieteen;0;0
7;ja;0;0
8;Oma;B-WORK;0
9;Koti;0;0
10;-lehteen;I-WORK;0
11;.;0;0
1;Edla;B-PER;0
2;Janssonin;I-PER;0
3;alkuopintojen;0;0
4;aikana;0;0
5;1840-luvun;B-DATE;0
6;alkupuolella;0;0
7;Suomessa;B-LOC;0
8;ei;0;0
9;vielä;0;0
10;ollut;0;0
11;taidekouluja;0;0
12;,;0;0
13;ja;0;0
14;varmistuttuaan;0;0
15;halustaan;0;0
16;tulla;0;0
17;taiteilijaksi;0;0
18;hän;0;0
19;ymmärsi;0;0
20;,;0;0
21;että;0;0
22;hänen;0;0
23;oli;0;0
24;lähdettävä;0;0
25;maailmalle;0;0
26;hakemaan;0;0
27;lisäoppia;0;0
28;.;0;0
1;Maija;B-PER;0
2;Isola;I-PER;0
3;kuoli;0;0
4;2001;B-DATE;0
5;.;0;0
1;Mether-Borgström;B-PER;0
2;oli;0;0
3;näille;0;0
4;arvoille;0;0
5;rakentuneen;0;0
6;Dimensio-ryhmän;B-ORG;0
7;jäsen;0;0
8;sen;0;0
9;perustamisesta;0;0
10;1972;B-DATE;0
11;lähtien;0;0
12;.;0;0
1;Saanion;B-PER;0
2;opiskeluaikana;0;0
3;Brummer;B-PER;0
4;oli;0;0
5;koulun;0;0
6;taiteellinen;0;0
7;johtaja;0;0
8;,;0;0
9;jonka;0;0
10;kanssa;0;0
11;Saanio;B-PER;0
12;myöhemmin;0;0
13;ystävystyi;0;0
14;.;0;0
1;Viimeinen;0;0
2;,;0;0
3;16;0;0
4;painos;0;0
5;kirjasta;0;0
6;otettiin;0;0
7;1950;B-DATE;0
8;.;0;0
1;Vannin;B-PER;0
2;isällä;0;0
3;oli;0;0
4;Viipurissa;B-LOC;0
5;hattu-;0;0
6;ja;0;0
7;turkisliike;0;0
8;,;0;0
9;jonka;0;0
10;jatkajaa;0;0
11;pojasta;0;0
12;toivottiin;0;0
13;.;0;0
1;Maija;B-PER;0
2;Isola;I-PER;0
3;teki;0;0
4;1949;B-DATE;B-DATE
5;-;0;0
6;1987;I-DATE;B-DATE
7;yhteensä;0;0
8;miltei;0;0
9;500;0;0
10;kangasmallia;0;0
11;.;0;0
1;Hän;0;0
2;vältti;0;0
3;kuitenkin;0;0
4;kuvaamasta;0;0
5;julkista;0;0
6;elämää;0;0
7;eikä;0;0
8;kommentoinut;0;0
9;suoraan;0;0
10;valtiollisia;0;0
11;tai;0;0
12;poliittisia;0;0
13;tapahtumia;0;0
14;.;0;0
1;Tällä;0;0
2;vuosikymmenellä;0;0
3;hän;0;0
4;teki;0;0
5;suuria;0;0
6;seinämaalauksia;0;0
7;:;0;0
8;1965;B-DATE;0
9;Postisäästöpankin;B-ORG;B-ORG
10;Helsingin;0;B-LOC
11;Fredrikinkadun;0;B-LOC
12;konttoriin;I-ORG;0
13;valmistui;0;0
14;teos;0;0
15;Työ;B-WORK;0
16;ja;0;0
17;perhe;I-WORK;0
18;ja;0;0
19;1966;B-DATE;0
20;Rovaniemelle;B-LOC;0
21;Lapin;B-ORG;0
22;keskusammattioppilaitokseen;I-ORG;0
23;seinämaalaus;0;0
24;Revontulten;B-WORK;0
25;välkkeessä;I-WORK;0
26;.;0;0
1;Näyttely;0;0
2;sai;0;0
3;suopeat;0;0
4;arvostelut;0;0
5;suurimmissa;0;0
6;lehdissä;0;0
7;.;0;0
1;Hän;0;0
2;loi;0;0
3;visuaaliset;0;0
4;hahmot;0;0
5;lukuisille;0;0
6;suomenkielisten;0;0
7;kirjojen;0;0
8;sankareille;0;0
9;seikkailukirjoista;0;0
10;rakkauslukemistoihin;0;0
11;,;0;0
12;viihteestä;0;0
13;klassikoihin;0;0
14;.;0;0
1;Novelleissa;0;0
2;ja;0;0
3;romaaneissa;0;0
4;toistuvat;0;0
5;Taikatalvessa;B-WORK;0
6;korostuneet;0;0
7;henkilöiden;0;0
8;androgyynisyys;0;0
9;ja;0;0
10;ulkopuolisuus;0;0
11;.;0;0
1;Hänen;0;0
2;usein;0;0
3;valtavankokoisia;0;0
4;historiallisia;0;0
5;ja;0;0
6;symbolistisia;0;0
7;taulujaan;0;0
8;pilkattiin;0;0
9;avoimesti;0;0
10;,;0;0
11;samoin;0;0
12;niihin;0;0
13;liittyviä;0;0
14;esitteitä;0;0
15;,;0;0
16;joihin;0;0
17;Wettenhovi-Aspa;B-PER;0
18;oli;0;0
19;kerännyt;0;0
20;itseään;0;0
21;kiittäviä;0;0
22;lausuntoja;0;0
23;ulkomaisista;0;0
24;näyttelyistä;0;0
25;sekä;0;0
26;taidetta;0;0
27;koskevia;0;0
28;ajatuksiaan;0;0
29;.;0;0
1;Kuvien;0;0
2;henkilöt;0;0
3;on;0;0
4;puettu;0;0
5;sen;0;0
6;ajan;0;0
7;pukuihin;0;0
8;,;0;0
9;ja;0;0
10;heillä;0;0
11;on;0;0
12;käsissään;0;0
13;ajanmukaiset;0;0
14;työkalut;0;0
15;.;0;0
1;Enckellin;B-PER;0
2;taiteilijatovereista;0;0
3;Pariisissa;B-LOC;0
4;oleskeli;0;0
5;samoihin;0;0
6;aikoihin;0;0
7;ainakin;0;0
8;Yngve;B-PER;0
9;Bäck;I-PER;0
10;(;0;0
11;1904;B-DATE;B-DATE
12;-;0;0
13;1990;I-DATE;B-DATE
14;);0;0
15;ja;0;0
16;Hjalmar;B-PER;0
17;Hagelstam;I-PER;0
18;(;0;0
19;1899;B-DATE;B-DATE
;-;0;0
21;1941;I-DATE;B-DATE
22;);0;0
23;.;0;0
1;Tähän;0;0
